MSOA21CD,JobAccess
E02000810,1848311.807
E02000812,1831350.526
E02000813,1797754.214
E02000814,1432376.586
E02000815,1963335.522
E02000816,1541101.354
E02000817,1666976.488
E02000818,1682803.537
E02000819,1543867.783
E02000820,1825776.45
E02000821,1544249.624
E02000822,1554559.836
E02000823,1661945.527
E02000824,1344300.287
E02000825,1250141.552
E02000826,1379357.482
E02000827,1546636.949
E02000828,1331435.614
E02000829,1445784.994
E02000830,1377063.645
E02000831,1306237.078
E02000832,1258307.69
E02000833,1288413.453
E02000834,1263552.074
E02000835,1109212.622
E02000836,1137061.075
E02000837,1273812.093
E02000838,1097805.757
E02000839,1070025.518
E02000840,693689.5485
E02000841,761337.1234
E02000842,891307.173
E02000843,782968.0247
E02000844,661974.3279
E02000845,879191.7093
E02000846,716880.1069
E02000847,902275.6759
E02000848,847290.1727
E02000849,790564.8819
E02000850,814494.3151
E02000851,672677.5965
E02000852,700338.6923
E02000853,708558.5672
E02000854,755097.2861
E02000855,841208.756
E02000856,751504.9895
E02000857,712179.7293
E02000858,699457.2448
E02000859,779307.5417
E02000860,724979.0847
E02000861,728192.3121
E02000863,799743.9534
E02000864,1401212.451
E02000865,1695566.032
E02000866,1573547.638
E02000867,1562734.666
E02000868,1629496.94
E02000869,1694487.27
E02000870,1732774.777
E02000871,1541019.167
E02000872,1606044.162
E02000873,1642275.695
E02000874,1741116.867
E02000875,1526245.487
E02000876,1871135.857
E02000877,1600718.542
E02000878,1909945.964
E02000879,1667271.919
E02000880,1701767.282
E02000881,1473811.432
E02000882,1652388.894
E02000883,1490829.941
E02000884,1820847.76
E02000885,1809518.844
E02000886,1710809.381
E02000887,1656569.965
E02000888,1812469.754
E02000889,1764380.304
E02000890,1731985.83
E02000893,1414550.744
E02000894,1421880.786
E02000895,1108645.141
E02000896,1086617.027
E02000897,1098585.502
E02000898,1000399.714
E02000899,1031064.836
E02000900,1017714.578
E02000901,1147139.596
E02000902,1140176.767
E02000903,1153112.794
E02000904,1156144.52
E02000905,1219096.915
E02000906,1249696.051
E02000907,1209971.28
E02000908,1379055.415
E02000909,1228237.312
E02000910,1322537.789
E02000911,1291531.605
E02000912,1203649.915
E02000913,1274815.61
E02000914,1278313.726
E02000915,1322429.625
E02000916,1222548.466
E02000917,1296983.325
E02000918,1384240.71
E02000919,1360766.715
E02000920,1339554.686
E02000921,1324531.875
E02000922,1211802.352
E02000923,1556436.426
E02000925,1531415.813
E02000926,1538786.097
E02000927,1599298.957
E02000928,1363695.652
E02000929,1674047.949
E02000930,1689608.825
E02000931,1553639.086
E02000932,1457072.497
E02000933,1335534.914
E02000934,1613014.004
E02000935,1088282.436
E02000936,1358974.018
E02000937,1441083.652
E02000938,1096466.412
E02000939,1447876.804
E02000940,1396561.72
E02000941,1369682.902
E02000942,1313622.434
E02000943,1510425.541
E02000944,1212981.838
E02000945,1018322.595
E02000946,1404385.92
E02000947,1243889.529
E02000948,1442980.075
E02000949,1413950.08
E02000950,1192156.827
E02000951,1481629.663
E02000952,1428744.211
E02000953,1377698.718
E02000954,1353047.164
E02000955,1349469.293
E02000956,1358070.713
E02000957,1333215.29
E02000958,1137327.917
E02000959,1138003.983
E02000960,1858793.907
E02000961,1780578.865
E02000962,1773207.207
E02000963,1453939.699
E02000964,1542116.898
E02000965,1562704.94
E02000966,1708954.98
E02000967,2093455.015
E02000968,1843482.442
E02000969,1548395.448
E02000970,2127350.869
E02000971,2012136.503
E02000972,2186947.469
E02000973,1731717.184
E02000974,2022269.82
E02000975,1918147.467
E02000976,1727778.136
E02000977,2290711.154
E02000978,1984489.405
E02000979,2196135.619
E02000980,2177805.687
E02000981,1945579.878
E02000982,1874922.75
E02000983,1927184.092
E02000984,1046227.349
E02000985,1078928.99
E02000986,1052099.805
E02000987,1179378.667
E02000988,1087535.176
E02000989,1053029.06
E02000990,1175726.59
E02000991,1091117.114
E02000992,1218267.37
E02000993,1111677.943
E02000994,1071339.555
E02000995,1082338.292
E02000996,1010814.183
E02000997,1180708.357
E02000998,1035440.47
E02000999,1024746.496
E02001000,1209751.984
E02001001,1169430.542
E02001002,1107705.48
E02001003,1266438.541
E02001004,1127970.843
E02001005,1203498.821
E02001006,1279994.481
E02001007,1146365.55
E02001008,1218912.839
E02001009,1313963.775
E02001010,1371035.708
E02001011,1338773.214
E02001012,1288883.459
E02001013,1408720.097
E02001014,1202173.374
E02001015,1516082.996
E02001016,1309366.014
E02001017,1522791.525
E02001018,1058632.577
E02001019,1144917.973
E02001020,1149474.939
E02001021,1151498.988
E02001022,1291338.944
E02001023,1127861.75
E02001024,1120926.305
E02001025,1258466.77
E02001026,1319805.85
E02001027,1206607.047
