BUA22CD,ResPop65plus,ResPop75plus,ResPop85plus
E63004300,29.9,15,4.3
E63004312,17.6,7.7,1.9
E63004320,21.9,10.4,2.8
E63004324,18.5,9.4,3.3
E63004326,17.7,9.1,2.8
E63004327,21.6,9.7,2.5
E63004332,22.8,11.5,3.9
E63004341,38.1,19.5,5
E63004343,12.3,5.1,1.3
E63004347,12.4,5.4,1.6
E63004349,16.3,7.9,2.7
E63004353,36.7,18.2,5.1
E63004358,16.3,7.8,2.4
E63004360,19.6,8.1,1.8
E63004362,24.5,12.9,4
E63004371,20.3,9.7,2.8
E63004387,25.4,12.8,4
E63004405,19.6,10,3.3
E63004408,14.5,6.6,2.1
E63004413,23.8,12.6,3
E63004421,9.9,4.7,1.6
E63004422,24.1,11.9,3
E63004426,18.5,9.8,3.1
E63004427,18.6,8.9,2.5
E63004435,19.6,9.4,3.1
E63004441,14.8,7.1,2.3
E63004442,16.6,8,2.4
E63004443,23.8,11.7,3.4
E63004449,15.4,7.1,2.3
E63004458,12.1,5.7,1.8
