LSOA11CD,IMD2019OverallScore,IMD2019IncomeScore,IMD2019EmploymentScore,IMD2019EducationScore,IMD2019HealthScore,IMD2019CrimeScore,IMD2019HousingServicesBarriersScore,IMD2019LivingEnvironmentScore,IMD2019IDACIScore,IMD2019IDAOPIScore,IMD2019ChildrenScore,IMD2019AdultScore,IMD2019GeographicalBarriersScore,IMD2019WiderBarriersScore,IMD2019IndoorsScore,IMD2019OutdoorsScore
E01005464,52.046,0.329,0.236,57.804,1.534,0.786,19.587,10.717,0.387,0.323,1.101,0.513,-0.453,1.652,-0.33,-0.181
E01005465,29.03,0.165,0.117,14.49,0.656,1.39,18.921,30.187,0.217,0.203,-0.327,0.318,0.057,0.3,0.756,-0.046
E01005466,66.643,0.414,0.303,61.787,1.929,1.238,20.074,10.811,0.449,0.466,1.16,0.528,-0.707,2.097,-0.377,-0.104
E01005467,57.277,0.33,0.255,56.669,1.485,1.356,27.146,15.761,0.352,0.332,1.193,0.491,0.094,2.045,0.018,-0.083
E01005468,12.556,0.045,0.057,4.907,-0.105,0.859,26.77,10.458,0.067,0.051,-0.972,0.23,0.96,-1.946,-0.363,-0.175
E01005469,27.713,0.151,0.114,21.514,0.604,0.832,11.971,43.728,0.183,0.096,-0.087,0.37,-0.381,-0.303,1.228,-0.06
E01005470,42.015,0.297,0.149,38.021,0.519,0.696,21.641,57.756,0.29,0.41,0.125,0.491,-0.768,2.483,1.647,0.04
E01005471,37.456,0.23,0.164,43.837,0.689,0.853,22.5,29.78,0.187,0.315,0.699,0.472,-0.186,1.776,0.814,-0.328
E01005472,46.725,0.306,0.19,46.219,1.247,1.386,19.177,15.721,0.356,0.276,0.905,0.46,-0.371,1.428,0.161,-0.432
E01005473,42.769,0.274,0.188,34.186,0.871,1.244,25.535,27.196,0.256,0.351,-0.013,0.476,0.088,1.721,0.671,-0.184
E01005474,28.267,0.154,0.134,23.946,1.2,0.813,10.835,11.075,0.23,0.103,-0.026,0.386,-0.313,-0.809,-0.096,-0.624
E01005475,47.04,0.317,0.206,39.49,1.334,1.019,22.503,15.659,0.299,0.458,0.429,0.472,-0.357,2.112,0.078,-0.223
E01005476,27.659,0.146,0.135,22.639,0.549,1.159,13.014,24.125,0.154,0.15,0.507,0.296,-0.353,-0.089,0.61,-0.451
E01005477,45.618,0.247,0.193,37.163,1.291,1.286,14.284,47.136,0.278,0.226,0.721,0.411,-0.972,1.072,1.377,-0.263
E01005478,27.566,0.141,0.127,24.749,0.896,0.699,17.394,26.291,0.17,0.1,0.489,0.325,-0.045,0.237,0.596,-0.068
E01005479,31.972,0.154,0.122,30.274,0.916,1.304,26.746,19.329,0.207,0.144,0.529,0.376,0.695,-0.281,0.283,-0.187
E01005480,32.566,0.183,0.151,27.58,0.849,1.308,18.513,13.983,0.177,0.196,0.127,0.404,-0.034,0.486,-0.006,-0.289
