OA21CD,GreenspaceTotal,GreenspacePublic
E00001174,0,0
E00001175,0,0
E00001176,2.1543,2.1543
E00001177,0,0
E00001178,0,0
E00001179,64.8096,64.8096
E00001180,0,0
E00001181,1.1554,1.1554
E00001182,0,0
E00001183,0,0
E00001184,0,0
E00001185,5.6115,5.6115
E00001186,0,0
E00001187,1.7956,1.7956
E00001188,0,0
E00001189,16.7125,0.9345
E00001191,0,0
E00001192,0,0
E00001193,0,0
E00001194,21.8791,21.7951
E00001195,0,0
E00001196,0,0
E00001197,60.0555,59.6059
E00001198,0,0
E00001199,0,0
E00001200,26.6941,21.2693
E00001201,0,0
E00001202,0,0
E00001203,0,0
E00001204,23.4153,0
E00001205,3.2272,0
E00001207,1.734,1.734
E00001208,0.0963,0
E00001209,55.4839,11.4721
E00001210,0,0
E00001212,0,0
E00001213,73.8574,1.3439
E00001214,0,0
E00001215,6.2851,5.8613
E00001216,15.9605,3.6536
E00001217,3.1002,0
E00001218,20.0121,0
E00001219,10.6427,0
E00001220,31.7018,31.7018
E00001221,0.0597,0
E00001222,1.434,0
E00001223,1.4397,1.4397
E00001224,0,0
E00001226,0,0
E00001227,41.1766,0
E00001228,0,0
E00001229,0,0
E00001230,0,0
E00001231,0.1239,0
E00001232,0.4655,0
E00001233,0,0
E00001234,13.6425,10.8281
E00001235,0.0624,0
E00001236,0.3151,0
E00001237,0,0
E00001238,0,0
E00001239,0,0
E00001240,0,0
E00001241,0,0
E00001242,0,0
E00001243,3.9179,0
E00001244,0,0
E00001245,0,0
E00001246,0,0
E00001247,4.1611,4.1611
E00001248,0,0
E00001249,4.9924,0
E00001250,0,0
E00001251,0,0
E00001252,20.8409,20.8409
E00001253,0,0
E00001254,35.763,0
E00001255,0,0
E00001256,0.4247,0
E00001257,41.1576,9.8704
E00001258,0,0
E00001259,0,0
E00001261,4.3217,0
E00001262,0,0
E00001265,0.2854,0
E00001266,0,0
E00001267,0,0
E00001268,36.9177,11.7979
E00001269,0,0
E00001270,0.9249,0
E00001271,4.2844,0
E00001272,43.6843,28.4434
E00001273,1.6441,0
E00001274,25.3167,15.3932
E00001275,2.4309,0
E00001276,1.576,0.9781
E00001277,37.6055,33.7875
E00001278,34.3503,0
E00001279,0,0
E00001280,19.1276,0
E00001281,0,0
E00001282,17.4659,0
E00001283,6.4488,2.8722
E00001284,0,0
E00001285,49.7106,0
E00001286,0,0
E00001288,58.0182,0
E00001289,0.0023,0
E00001290,0,0
E00001291,21.0641,0
E00001292,91.8719,0
E00001293,0,0
E00001294,0,0
E00001295,1.1751,0
E00001296,10.5739,0
E00001297,6.6829,6.4118
E00001298,0.2114,0
E00001299,0,0
E00001300,1.7116,0.7568
E00001301,0,0
E00001302,3.8233,0
E00001303,0,0
E00001304,0,0
E00001305,3.2822,0
E00001306,5.6611,0
E00001307,0,0
E00001308,0,0
E00001309,0,0
E00001310,0,0
E00001311,0.0478,0
E00001312,24.21,0
E00001313,2.085,0
E00001314,0,0
E00001315,6.8265,0
E00001316,3.0838,0
E00001317,0.3915,0
E00001318,3.2685,0
E00001319,0,0
E00001320,0,0
E00001321,0,0
E00001322,13.4677,0
E00001323,76.4731,0
E00001324,0,0
E00001325,0,0
E00001326,0,0
E00001327,0,0
E00001328,0,0
