LSOA21CD,TotPopChange_2001_17
E01001376,5.9129
E01001377,-0.6981
E01001379,2.1628
E01001380,16.8109
E01001381,22.6864
E01001382,-9.9509
E01001383,-3.0215
E01001384,3.2096
E01001385,2.1845
E01001386,-7.6545
E01001387,3.0719
E01001388,-2.8094
E01001389,15.0293
E01001390,26.879
E01001391,40.5807
E01001392,24.4742
E01001393,31.9349
E01001394,21.2849
E01001395,14.8878
E01001396,17.9392
E01001397,55.5333
E01001398,-9.1837
E01001399,3.3837
E01001400,3.3736
E01001401,7.2231
E01001402,23.1715
E01001403,7.2112
E01001404,2.8271
E01001405,27.9273
E01001406,7.8562
E01001407,10.7073
E01001408,6.0038
E01001409,21.6515
E01001410,24.2232
E01001411,15.8884
E01001412,7.8182
E01001413,-3.74
E01001414,11.7111
E01001415,25.07
E01001416,-0.4014
E01001417,8.2456
E01001418,10.9043
E01001419,26.9468
E01001420,8.3605
E01001421,10.6109
E01001422,7.0831
E01001423,6.8683
E01001424,19.697
E01001425,35.3666
E01001426,30.9961
E01001427,3.5825
E01001428,20.8684
E01001429,73.8636
E01001430,13.5118
E01001431,29.5082
E01001432,32.9049
E01001433,20.4234
E01001434,8.4225
E01001435,-0.4727
E01001436,8.4671
E01001437,49.8845
E01001438,9.9295
E01001439,37.8538
E01001440,12.1173
E01001441,11.6734
E01001442,23.3443
