LSOA21CD,EntirehomesPer,BedspacePer
E01000585,1.253918495,9.510869565
E01000586,0.821692687,7.50524109
E01000587,0.426439232,0.247371676
E01000589,0.223463687,0.673400673
E01000590,0.468018721,1.53609831
E01000591,0,0.814848348
E01000592,0.156739812,0.602409639
E01000593,0.145560408,0.290275762
E01000594,0.174216028,0.755939525
E01000595,0.145348837,0.937155458
E01000596,0.145985401,0.502512563
E01000599,0.137362637,0.901856764
E01000601,0,0.21691974
E01000602,0,0
E01000603,0,0.139958013
E01000604,0,0
E01000605,0,0.293772033
E01000606,0.814332248,1.614639397
E01000607,0,0.117831893
E01000608,0,1.111586148
E01000609,0.154083205,0.62052506
E01000610,0.140252454,0.969162996
E01000611,0.160513644,0.675675676
E01000612,0.878734622,2.47410817
E01000613,0.15037594,1.209677419
E01000615,2.132196162,3.240506329
E01000616,0.458015267,3.150406504
E01000617,0.510638298,1.968503937
E01000618,0,0.581057525
E01000619,0.203665988,0.477897252
E01000620,0.378071834,1.201671891
E01000621,0.383877159,1.455767077
E01000622,0.413793103,0.473933649
E01000623,0.17211704,0.434074878
E01000624,0,0.227272727
E01000625,0.810372771,2.044497895
E01000626,0.318471338,0.983606557
E01000627,0.137362637,0.389294404
E01000628,0,0.770077008
E01000629,0.315457413,1.530612245
E01000630,0.306122449,1.673944687
E01000631,0,0.097370983
E01000632,0,0.078988942
E01000633,0.150829563,1.384493671
E01000634,0.254452926,0.819672131
E01000636,0.216684724,1.745200698
E01000637,0.465838509,2.440677966
E01000638,0.119331742,1.178133836
E01000639,1.253132832,4.266211604
E01000640,0,0.894054537
E01000641,0.12642225,1.848151848
E01000642,1.34529148,6.557377049
E01000643,1.067235859,2.58973194
E01000644,1.494396015,5.477980666
E01000645,0,0.773014758
E01000646,0,0.164654226
E01000647,0,0.363856883
E01000648,0,0.209095661
E01000649,0,0.095011876
E01000650,0.122850123,0.33463469
E01000651,0,0.931857892
E01000652,0.143884892,0.533175355
E01000653,0.157480315,1.171112557
E01000654,0,0.318217979
E01000655,0,0.153374233
E01000656,0,0.530503979
E01000657,0,0.126502214
E01000658,0,0
E01000659,0,0.358937545
E01000661,0.162337662,1.071046055
E01000662,0.294985251,0.488334238
E01000663,0.437956204,1.024473534
E01000664,0.162074554,0.305997552
E01000665,0,0.215633423
E01000666,0.235294118,0.829875519
E01000667,0,0
E01000668,0,0.17905103
E01000669,0.130208333,0.228963938
E01000670,0.115874855,0.867346939
E01000671,0,0.737527115
E01000672,0.136986301,1.302545885
E01000673,0,0.656324582
E01000674,0,0.771055753
E01000676,0.375586854,2.941176471
E01000677,0,0.209314495
E01000678,0,0.218221495
E01000679,0.141643059,0.850340136
E01000680,0.59084195,3.241296519
E01000681,0,0
E01000682,0,0
E01000683,0,0
E01000684,0.392670157,0.558399255
E01000685,0.315955766,0.796080833
E01000686,0,0.523903078
E01000687,0,0.400266845
E01000688,0.190839695,0.290909091
E01000689,0,0.250469631
E01000690,0,0
E01000691,0,0
E01000692,0,0
E01000693,0,0.136986301
E01000694,0,0.043898156
E01000695,0,0.530856005
E01000696,0.139082058,0.485731633
E01000697,0.119760479,0.113122172
E01000698,0.43956044,2.090301003
E01000699,0.275862069,1.371742112
E01000700,0,0.398142004
E01000701,0.156494523,0.762829404
E01000702,0.296735905,0.970873786
E01000703,0.134952767,0.395256917
E01000704,0.159235669,0.932711526
E01000705,0.495049505,2.067946824
E01000706,0,0
E01000707,0,0.20242915
E01000708,0,0.243013366
E01000709,0,0.215827338
E01000710,0.248756219,1.134981759
E01000711,0.091491308,0.654307525
E01000712,0.212539851,0.732394366
E01000713,0.323275862,1.119402985
E01000714,0.25466893,1.38760407
E01000715,0.205973223,0.576036866
E01000716,0,0.372902424
E01000717,0,0
E01000718,0,0.294695481
E01000719,0,0.616113744
E01000720,0.286123033,0.686106346
E01000721,0.315955766,1.016518424
E01000722,0,0
E01000723,0.175438596,0.326264274
E01000724,0.286944046,1.111761264
E01000725,0,0.283125708
E01000726,0,0.625
E01000727,0.49382716,1.264298615
E01000728,0.139082058,0.304692261
E01000729,0,0.053937433
E01000730,0.143472023,1.029252438
E01000731,0.372439479,1.125175809
E01000732,0.167785235,0.132890365
E01000733,0,0.123609394
E01000734,0,0
E01000735,0,0.063451777
E01000736,0.154320988,0.717274357
E01000737,0,0.145985401
E01000738,0,0.117647059
E01000739,0,0
E01000741,0.302419355,3.153153153
E01000742,0.182315406,1.902949572
E01000743,0.31152648,1.333333333
E01000744,0,0.907911803
E01000745,0.309597523,2.028830753
E01000746,0.19379845,3.05
E01000747,0,0.397416791
E01000748,0.270635995,1.958384333
E01000749,0.151745068,0.315059861
E01000750,0.445103858,0.613079019
E01000751,0.108225108,0.130947185
E01000752,0,0
E01000753,0,0
E01000754,0,0.449438202
E01000755,0,0
E01000756,0,0
E01000757,0,0.319284802
E01000758,0,0.274725275
E01000759,0,0.303951368
E01000760,0,0
E01000761,0,0.315059861
E01000762,0,0.627853881
