MSOA21CD,PersonalDebt,HHInc_afterCosts,HHInc_afterCosts_equivalised,HHInc_beforeCosts,HHInc_beforeCosts_equivalised
E02006242,593.3492,52100,31800,36500,35400
E02006243,601.7917,46900,29700,34400,32900
E02006245,549.9103,39800,24300,31500,27600
E02006246,544.0745,45700,29200,34700,32100
E02006247,530.0342,39600,24600,30400,28200
E02006248,546.8704,45000,29500,33900,31200
E02006249,482.025,52000,32000,39700,37200
E02006250,500.4251,41400,23800,30300,28400
E02006251,494.5586,42700,26700,30700,31900
E02006252,543.0068,46600,28600,33300,32100
E02006253,481.1131,51200,30500,37200,34400
E02006254,455.4586,38500,23800,28800,28700
E02006255,485.1389,44500,28000,32400,31200
E02006256,481.3942,40700,25300,30900,29100
E02006257,467.4244,35900,24400,29600,27700
E02006258,576.2507,41600,25400,32600,29000
E02006259,475.5608,38300,25500,31100,29500
E02006260,535.5508,38000,24400,28500,27200
E02006261,546.5995,45100,34100,35500,33600
E02006262,561.9867,47300,33300,37600,33700
E02006263,528.1807,44200,32400,34700,32500
E02006264,564.2407,49500,34800,37400,34800
E02006265,559.6217,43500,32000,34400,32300
E02006266,515.6063,46100,32200,35000,34300
E02006267,514.4734,50600,34000,38600,36000
E02006268,481.3378,36700,25100,29400,28200
E02006269,453.2789,50000,31200,35700,33700
E02006270,608.6113,46600,30100,34000,33400
